"RGCCA"	"MCIA"	"intNMF"	"tICA"	"UBMI"
0.73015163854492	0.786876584983353	1	0.721411426643532	1
0.755777727045639	0.809315654549555	0.945945945945946	0.703630194200937	1
0.750646792417535	0.793830856552513	1	0.707995091682197	1
0.761478034876344	0.797259423420041	1	0.73366241575189	1
0.737597855035064	0.781382635704832	0.777777777777778	0.715068052493316	1
0.737114469728614	0.81377911668701	1	0.728971364950839	1
0.743843710032085	0.802991092335348	1	0.725841202364886	1
0.741409489258305	0.79815963018463	1	0.725177152416297	1
0.716252790470919	0.790931919751901	1	0.720938358843312	1
0.733174434001671	0.807689070022971	1	0.734596510701774	1
0.744407112848165	0.800788627305824	1	0.71664057250498	1
0.758644797304376	0.802249803461646	1	0.729962651846204	1
0.733986280772614	0.802107479439483	0.6	0.73400268532637	1
0.753786253558819	0.791743398724594	1	0.708889692607587	1
0.737789153438521	0.803261809632862	1	0.72627537507327	1
