"RGCCA"	"MCIA"	"MOFA"	"intNMF"	"JIVE"	"tICA"	"UBMI"
0.764728748989802	0.793936294871603	0.751815175983287	1	0.738493750499014	0.75679045691151	1
0.771577333136542	0.78960299822955	0.750214865796971	1	0.734733790799271	0.75795559732665	1
0.745108339688635	0.793239124836604	0.755221970310391	1	0.735907221462175	0.738054636591479	1
0.761235135081198	0.78234222605833	0.754629688028833	1	0.738359468584475	0.734221665274297	1
0.75587436497226	0.769471129026529	0.753200786162864	1	0.744274026947711	0.750971681125892	1
0.753929243228325	0.780014226129515	0.745492452953928	1	0.75043280766934	0.746897961784804	1
0.760581306069088	0.78795658548288	0.749041625364316	1	0.756626766800451	0.744787834972045	1
0.761018446267002	0.796186030326893	0.741247527839521	1	0.744309998509689	0.754025463230727	1
0.767301888976709	0.774192335578295	0.776614840305893	1	0.729356374617098	0.748537200908254	1
0.763659108095207	0.782320307859781	0.750631574137073	1	0.724960808100282	0.757567111153953	1
0.764243880018044	0.787504560999543	0.74140438584807	1	0.737005944259845	0.74115269905533	1
0.760862667496245	0.811492886104339	0.76280994537749	1	0.733112464209194	0.741572662425294	1
0.771039160722319	0.793806371102095	0.752434652121185	1	0.737929749916263	0.737762109118951	1
0.757861215451058	0.79547265857391	0.748164386616709	1	0.730038333012017	0.74893869824133	1
0.770587496173021	0.795827673855447	0.749097260108313	1	0.739287808293072	0.753371705760127	1
