,UMAP1,UMAP2,Cluster
ME0/ABEC0021.WEC0010135,2.462118,8.151599,Cluster 1
ME0/ABEC0021.WEC0010136,2.4141684,8.065869,Cluster 1
ME0/ABEC0021.WEC0010137,2.2519274,8.237593,Cluster 1
ME0/ABEC0021.WEC0010138,2.4778225,8.272528,Cluster 1
ME0/ABEC0021.WEC0010139,2.30235,8.0883665,Cluster 1
ME0/ABEC0021.WEC0010140,2.880629,8.005308,Noise
ME0/ABEC0021.WEC0010141,2.457595,8.055073,Cluster 1
ME0/ABEC0021.WEC0010142,2.4323094,8.102176,Cluster 1
ME0/ABEC0021.WEC0010143,2.6056232,8.048372,Cluster 1
ME0/ABEC0021.WEC0010144,2.61826,8.176881,Cluster 1
ME0/ABEC0021.WEC0010145,2.4196775,8.195082,Cluster 1
ME0/ABEC0021.WEC0010146,2.32516,8.080558,Cluster 1
ME0/ABEC0021.WEC0010147,2.5554857,8.200508,Cluster 1
ME0/ABEC0021.WEC0010148,3.0201073,7.8844223,Noise
ME0/ABEC0021.WEC0010149,2.5027204,7.9800115,Cluster 1
ME0/ABEC0021.WEC0010150,2.7308207,8.031225,Noise
ME0/ABEC0021.WEC0010151,2.6984596,7.872399,Cluster 1
ME0/ABEC0021.WEC0010152,2.3315027,7.973566,Cluster 1
ME0/ABEC0021.WEC0010153,3.3965633,4.934155,Noise
ME0/ABEC0021.WEC0010154,2.5091627,8.008409,Cluster 1
ME0/ABEC0021.WEC0010155,2.0044186,7.704422,Cluster 1
ME0/ABEC0021.WEC0010156,2.652671,8.013396,Noise
ME0/ABEC0021.WEC0010157,2.5238068,8.027694,Cluster 1
ME0/ABEC0021.WEC0010158,2.579951,7.8622246,Cluster 1
ME0/ABEC0021.WEC0010159,2.6440406,7.8024273,Cluster 1
ME0/ABEC0021.WEC0010160,2.4176166,8.068998,Cluster 1
ME0/ABEC0021.WEC0010161,2.7973773,7.946936,Noise
ME0/ABEC0021.WEC0010162,2.233305,7.740089,Cluster 1
ME0/ABEC0021.WEC0010163,2.8265498,7.8994923,Noise
ME0/ABEC0021.WEC0010164,2.6341767,7.850165,Cluster 1
ME0/ABEC0021.WEC0010166,2.7781312,7.794246,Noise
ME0/ABEC0021.WEC0010167,2.4763536,7.921238,Cluster 1
ME0/ABEC0021.WEC0010168,2.6654372,7.851697,Cluster 1
ME0/ABEC0021.WEC0010169,2.6390097,7.836611,Cluster 1
ME0/ABEC0021.WEC0010170,2.701994,7.9021816,Noise
ME0/ABEC0021.WEC0010171,2.7015717,7.9180675,Cluster 1
ME0/ABEC0021.WEC0010172,2.682563,7.890826,Cluster 1
ME0/ABEC0021.WEC0010173,2.6762378,7.821831,Cluster 1
ME0/ABEC0021.WEC0010174,2.9277098,7.6945667,Noise
ME0/ABEC0021.WEC0010175,2.7508957,7.91451,Noise
ME0/ABEC0021.WEC0010176,2.8502576,7.788186,Noise
ME0/ABEC0021.WEC0010177,2.9006526,7.9373527,Noise
ME0/ABEC0021.WEC0010178,2.5043397,7.9038196,Cluster 1
ME0/ABEC0021.WEC0010179,1.6575499,8.7431755,Cluster 1
ME0/ABEC0021.WEC0010181,2.6792428,7.7030296,Cluster 1
ME0/ABEC0021.WEC0010182,2.637329,7.8182406,Cluster 1
ME0/ABEC0021.WEC0010183,2.5047665,7.885374,Cluster 1
ME0/ABEC0021.WEC0010184,2.688944,7.639437,Cluster 1
ME0/ABEC0021.WEC0010185,2.8970735,7.783314,Noise
ME0/ABEC0021.WEC0010187,2.7901332,7.6737533,Noise
ME0/ABEC0021.WEC0010188,2.8728406,7.7230024,Noise
ME0/ABEC0021.WEC0010189,2.8133233,7.6063128,Noise
ME0/ABEC0021.WEC0010190,2.7436123,7.7583666,Cluster 1
ME0/ABEC0021.WEC0010191,2.8217719,7.774733,Noise
ME0/ABEC0021.WEC0010192,2.6913583,7.773863,Cluster 1
ME0/ABEC0022.WEC0010193,2.9439259,7.662894,Noise
ME0/ABEC0022.WEC0010194,2.974719,7.6205745,Noise
ME0/ABEC0022.WEC0010195,2.9942684,7.5110736,Noise
ME0/ABEC0022.WEC0010196,3.6646454,5.368571,Noise
ME0/ABEC0022.WEC0010197,3.4128845,5.839816,Cluster 2
ME0/ABEC0022.WEC0010198,2.7205863,7.4215436,Noise
ME0/ABEC0022.WEC0010199,3.1842015,7.1871243,Noise
ME0/ABEC0022.WEC0010200,2.773061,7.835778,Noise
ME0/ABEC0022.WEC0010201,2.755758,7.247735,Noise
ME0/ABEC0022.WEC0010202,2.6596956,7.6564336,Cluster 1
ME0/ABEC0022.WEC0010203,2.9453518,7.680056,Noise
ME0/ABEC0022.WEC0010204,3.1162596,7.4443545,Noise
ME0/ABEC0022.WEC0010205,3.1435091,7.5033364,Noise
ME0/ABEC0022.WEC0010206,2.7925797,7.552477,Noise
ME0/ABEC0022.WEC0010207,2.7436383,7.6269393,Noise
ME0/ABEC0022.WEC0010208,2.8075025,7.674002,Noise
ME0/ABEC0022.WEC0010209,3.0842576,6.415213,Cluster 2
ME0/ABEC0022.WEC0010210,2.945795,7.5334344,Noise
ME0/ABEC0022.WEC0010211,3.3514228,6.8327146,Cluster 2
ME0/ABEC0022.WEC0010212,2.967578,7.422724,Noise
ME0/ABEC0022.WEC0010213,2.8408868,7.5844226,Noise
ME0/ABEC0022.WEC0010214,2.5318878,7.5969734,Cluster 1
ME0/ABEC0022.WEC0010215,2.906742,7.560196,Noise
ME0/ABEC0022.WEC0010216,2.8306248,7.4890428,Noise
ME0/ABEC0022.WEC0010217,2.8139884,7.7346764,Noise
ME0/ABEC0022.WEC0010218,2.94731,7.461073,Noise
ME0/ABEC0022.WEC0010219,2.901804,7.381322,Noise
ME0/ABEC0022.WEC0010220,2.711152,7.13144,Noise
ME0/ABEC0022.WEC0010221,2.8866334,7.4476414,Noise
ME0/ABEC0022.WEC0010222,2.9675717,7.40028,Noise
ME0/ABEC0022.WEC0010223,3.0103528,7.45932,Noise
ME0/ABEC0022.WEC0010224,2.9338293,7.4576807,Noise
ME0/ABEC0022.WEC0010225,2.9970486,7.51102,Noise
ME0/ABEC0022.WEC0010226,2.8831415,7.352849,Noise
ME0/ABEC0022.WEC0010227,2.8704326,7.513262,Noise
ME0/ABEC0022.WEC0010228,2.9258235,7.5576487,Noise
ME0/ABEC0022.WEC0010229,2.9513614,7.3356442,Noise
ME0/ABEC0022.WEC0010230,2.9286072,7.3243446,Noise
ME0/ABEC0022.WEC0010231,2.9360466,7.4005218,Noise
ME0/ABEC0022.WEC0010232,3.0677314,6.426837,Cluster 2
ME0/ABEC0022.WEC0010233,3.0414412,7.47506,Noise
ME0/ABEC0022.WEC0010234,2.6239605,7.0235624,Noise
ME0/ABEC0022.WEC0010235,2.963937,7.206851,Noise
ME0/ABEC0022.WEC0010236,3.1166627,7.3641663,Noise
ME0/ABEC0022.WEC0010237,3.0824337,7.252119,Noise
ME0/ABEC0022.WEC0010238,3.5153189,7.0558796,Noise
ME0/ABEC0022.WEC0010239,3.0688448,7.418523,Noise
ME0/ABEC0022.WEC0010240,3.2464516,6.042554,Cluster 2
ME0/ABEC0022.WEC0010241,3.0286605,7.164802,Noise
ME0/ABEC0022.WEC0010242,2.904482,7.0573697,Cluster 2
ME0/ABEC0022.WEC0010243,3.604233,4.916186,Noise
ME0/ABEC0022.WEC0010244,3.0354688,6.7343507,Cluster 2
ME0/ABEC0022.WEC0010245,3.4811704,5.449221,Noise
ME0/ABEC0022.WEC0010246,3.1347172,6.914899,Cluster 2
ME0/ABEC0022.WEC0010247,3.5625963,5.353112,Noise
ME0/ABEC0022.WEC0010248,3.321161,6.1932654,Cluster 2
ME0/ABEC0022.WEC0010249,3.2731075,6.1484933,Cluster 2
ME0/ABEC0022.WEC0010250,3.342133,6.2478023,Cluster 2
ME0/ABEC0022.WEC0010251,3.3334336,6.7343383,Cluster 2
ME0/ABEC0022.WEC0010252,3.5025175,5.9997754,Cluster 2
ME0/ABEC0022.WEC0010253,3.2962024,6.222036,Cluster 2
ME0/ABEC0022.WEC0010255,3.1444974,6.775145,Cluster 2
ME0/ABEC0022.WEC0010256,3.4456952,6.1590533,Cluster 2
ME0/ABEC0022.WEC0010257,3.4196143,6.1785803,Cluster 2
ME0/ABEC0022.WEC0010258,3.3221676,6.140965,Cluster 2
ME0/ABEC0022.WEC0010259,2.944112,5.7426424,Cluster 2
ME0/ABEC0022.WEC0010260,3.4504967,5.975626,Cluster 2
ME0/ABEC0022.WEC0010261,3.4116466,5.886858,Cluster 2
ME0/ABEC0022.WEC0010262,2.932006,7.193957,Noise
ME0/ABEC0022.WEC0010263,3.3628273,6.2132983,Cluster 2
ME0/ABEC0022.WEC0010264,3.443257,5.838412,Cluster 2
ME0/ABEC0022.WEC0010265,3.0879557,5.1625633,Noise
ME0/ABEC0022.WEC0010266,2.7844872,6.080037,Cluster 2
ME0/ABEC0022.WEC0010267,3.3847845,6.147353,Cluster 2
ME0/ABEC0022.WEC0010268,3.2716372,6.236246,Cluster 2
ME0/ABEC0022.WEC0010269,3.2674356,6.297838,Cluster 2
ME0/ABEC0022.WEC0010270,3.1641057,6.578808,Cluster 2
ME0/ABEC0022.WEC0010271,3.5049474,5.670802,Cluster 2
ME0/ABEC0022.WEC0010272,3.3709438,6.200867,Cluster 2
ME0/ABEC0022.WEC0010274,3.1126876,5.95543,Cluster 2
ME0/ABEC0022.WEC0010276,3.385489,5.006096,Noise
ME0/ABEC0022.WEC0010277,3.2486112,5.6356425,Cluster 2
ME0/ABEC0022.WEC0010278,3.5814698,5.268734,Noise
ME0/ABEC0022.WEC0010279,3.5437777,5.094059,Noise
ME0/ABEC0022.WEC0010280,2.633788,6.17494,Cluster 2
ME0/ABEC0022.WEC0010281,3.2466614,5.6899023,Cluster 2
ME0/ABEC0022.WEC0010282,3.3951392,5.480755,Noise
ME0/ABEC0022.WEC0010283,3.5326962,5.3294063,Noise
ME0/ABEC0022.WEC0010284,3.2244663,5.807233,Cluster 2
ME0/ABEC0022.WEC0010285,2.9543457,5.841768,Cluster 2
ME0/ABEC0022.WEC0010286,2.679845,6.4714465,Cluster 2
ME0/ABEC0022.WEC0010287,3.0332816,5.7328176,Cluster 2
ME0/ABEC0022.WEC0010288,3.5706189,5.1854954,Noise
ME0/ABEC0022.WEC0010290,3.5149403,5.3024654,Noise
ME0/ABEC0022.WEC0010291,3.417363,5.5231223,Noise
ME0/ABEC0022.WEC0010292,3.4612186,5.8682246,Cluster 2
ME0/ABEC0022.WEC0010293,3.372025,5.2790556,Noise
ME0/ABEC0022.WEC0010294,3.399063,5.3567314,Noise
ME0/ABEC0022.WEC0010295,3.1067767,5.410827,Noise
ME0/ABEC0022.WEC0010296,3.1561043,5.2008076,Noise
ME0/ABEC0022.WEC0010297,3.4201863,5.489442,Noise
ME0/ABEC0022.WEC0010298,3.5180452,5.171383,Noise
ME0/ABEC0022.WEC0010299,3.481665,5.1044474,Noise
ME0/ABEC0022.WEC0010300,3.41122,5.5658,Noise
ME0/ABEC0022.WEC0010301,3.549478,4.917398,Noise
ME0/ABEC0022.WEC0010302,3.2490377,5.334094,Noise
ME0/ABEC0022.WEC0010303,3.2603796,5.7037067,Cluster 2
ME0/ABEC0022.WEC0010304,3.2806766,5.626655,Cluster 2
ME0/ABEC0022.WEC0010305,2.6350346,7.083149,Noise
ME0/ABEC0022.WEC0010306,3.5767503,5.232397,Noise
ME0/ABEC0022.WEC0010307,3.513427,5.1818066,Noise
ME0/ABEC0022.WEC0010308,3.4311407,5.402948,Noise
ME0/ABEC0022.WEC0010309,3.2735183,5.3986716,Noise
ME0/ABEC0022.WEC0010310,3.4319098,5.2741113,Noise
ME0/ABEC0022.WEC0010311,3.3664815,5.861647,Cluster 2
ME0/ABEC0022.WEC0010312,3.464032,5.2157626,Noise
ME0/ABEC0022.WEC0010313,3.3783574,5.3437057,Noise
ME0/ABEC0022.WEC0010314,3.4394183,5.343786,Noise
ME0/ABEC0022.WEC0010315,3.4916742,5.383387,Noise
ME0/ABEC0022.WEC0010316,3.5349326,5.451886,Noise
ME0/ABEC0022.WEC0010317,3.255501,5.6126876,Cluster 2
ME0/ABEC0022.WEC0010318,3.3383958,5.257215,Noise
ME0/ABEC0022.WEC0010319,3.473738,5.4433055,Noise
ME0/ABEC0022.WEC0010320,3.1935668,5.5460653,Cluster 2
ME0/ABEC0022.WEC0010321,3.3267999,5.5404596,Noise
ME0/ABEC0022.WEC0010322,3.2964659,5.348808,Noise
ME0/ABEC0022.WEC0010323,3.393746,5.583601,Noise
ME0/ABEC0022.WEC0010324,3.184897,5.695774,Cluster 2
ME0/ABEC0022.WEC0010325,3.402448,5.4925156,Noise
ME0/ABEC0022.WEC0010326,3.4101508,5.655823,Cluster 2
ME0/ABEC0022.WEC0010327,3.2754116,5.4438663,Noise
ME0/ABEC0022.WEC0010328,3.2198,5.344774,Noise
ME0/ABEC0022.WEC0010329,3.0912833,5.937491,Cluster 2
ME0/ABEC0022.WEC0010330,3.2270906,5.767653,Cluster 2
ME0/ABEC0022.WEC0010331,3.309497,5.588045,Cluster 2
ME0/ABEC0022.WEC0010332,3.2217522,5.6288652,Cluster 2
ME0/ABEC0022.WEC0010333,3.2738278,5.61591,Cluster 2
ME0/ABEC0022.WEC0010334,3.18479,5.505654,Noise
ME0/ABEC0022.WEC0010335,3.2017972,5.6183558,Cluster 2
ME0/ABEC0022.WEC0010336,3.3200252,5.4808936,Noise
ME0/ABEC0022.WEC0010337,2.7380226,6.031143,Cluster 2
ME0/ABEC0022.WEC0010338,3.460582,5.5680776,Noise
ME0/ABEC0022.WEC0010339,3.4949217,5.683492,Cluster 2
ME0/ABEC0022.WEC0010340,2.6466715,6.0156674,Cluster 2
ME0/ABEC0022.WEC0010341,3.2767394,5.827977,Cluster 2
ME0/ABEC0022.WEC0010342,3.191674,5.8175507,Cluster 2
ME0/ABEC0022.WEC0010343,3.395641,5.735753,Cluster 2
ME0/ABEC0022.WEC0010344,3.3044267,5.68727,Cluster 2
ME0/ABEC0022.WEC0010345,3.3710825,5.600378,Noise
ME0/ABEC0022.WEC0010346,2.8292701,6.1188526,Cluster 2
ME0/ABEC0022.WEC0010347,3.223444,5.749959,Cluster 2
ME0/ABEC0022.WEC0010348,3.2963333,5.751546,Cluster 2
ME0/ABEC0022.WEC0010349,3.080655,5.9429054,Cluster 2
ME0/ABEC0022.WEC0010350,3.272242,5.89257,Cluster 2
ME0/ABEC0022.WEC0010351,3.1336102,5.7004786,Cluster 2
ME0/ABEC0022.WEC0010352,3.2890773,5.734847,Cluster 2
ME0/ABEC0022.WEC0010353,3.188009,5.620073,Cluster 2
ME0/ABEC0022.WEC0010354,3.2192514,5.7685814,Cluster 2
ME0/ABEC0022.WEC0010355,3.254228,5.7345877,Cluster 2
ME0/ABEC0022.WEC0010356,2.8250868,5.725981,Cluster 2
ME0/ABEC0022.WEC0010357,2.9426289,6.0704155,Cluster 2
ME0/ABEC0022.WEC0010358,3.3480334,5.973601,Cluster 2
ME0/ABEC0022.WEC0010359,3.0236661,5.916467,Cluster 2
ME0/ABEC0022.WEC0010360,3.1683424,5.9896092,Cluster 2
ME0/ABEC0022.WEC0010361,3.0373697,5.981013,Cluster 2
ME0/ABEC0022.WEC0010362,3.0981138,5.9804716,Cluster 2
ME0/ABEC0022.WEC0010363,2.9091113,5.837051,Cluster 2
ME0/ABEC0022.WEC0010364,3.0550003,5.7806005,Cluster 2
ME0/ABEC0022.WEC0010365,3.3710191,5.81861,Cluster 2
ME0/ABEC0022.WEC0010366,2.7101831,6.70549,Cluster 2
ME0/ABEC0022.WEC0010367,3.134322,6.051361,Cluster 2
ME0/ABEC0022.WEC0010368,3.1719766,5.87267,Cluster 2
ME0/ABEC0022.WEC0010369,2.8893723,6.1049814,Cluster 2
ME0/ABEC0022.WEC0010370,3.1293983,5.9538145,Cluster 2
ME0/ABEC0022.WEC0010371,3.1512756,5.91072,Cluster 2
ME0/ABEC0022.WEC0010372,3.092681,6.0064597,Cluster 2
ME0/ABEC0022.WEC0010373,3.01605,6.2060146,Cluster 2
ME0/ABEC0022.WEC0010374,3.079879,6.0150824,Cluster 2
ME0/ABEC0022.WEC0010375,3.1033013,6.1055646,Cluster 2
ME0/ABEC0022.WEC0010376,2.9990325,6.1222067,Cluster 2
ME0/ABEC0022.WEC0010377,3.1805031,5.8751545,Cluster 2
ME0/ABEC0022.WEC0010378,2.937173,6.1261106,Cluster 2
ME0/ABEC0022.WEC0010379,3.0364363,6.0420794,Cluster 2
ME0/ABEC0022.WEC0010380,3.0406923,6.124213,Cluster 2
ME0/ABEC0022.WEC0010381,3.0644915,6.1403203,Cluster 2
ME0/ABEC0022.WEC0010382,2.951733,5.888951,Cluster 2
ME0/ABEC0022.WEC0010383,2.9521759,5.98456,Cluster 2
ME0/ABEC0022.WEC0010384,3.135744,6.21138,Cluster 2
ME0/ABEC0023.WEC0011002,3.1289017,5.9879265,Cluster 2
ME0/ABEC0023.WEC0011003,2.889673,6.0075817,Cluster 2
ME0/ABEC0023.WEC0011004,3.0198474,6.1227756,Cluster 2
ME0/ABEC0023.WEC0011006,2.9081678,6.377712,Cluster 2
ME0/ABEC0023.WEC0011010,2.8520103,6.038066,Cluster 2
ME0/ABEC0023.WEC0011012,3.004166,6.174046,Cluster 2
ME0/ABEC0023.WEC0011014,2.789263,6.36626,Cluster 2
ME0/ABEC0023.WEC0011016,3.0470958,6.1979527,Cluster 2
ME0/ABEC0023.WEC0011017,3.0625508,6.1003065,Cluster 2
ME0/ABEC0023.WEC0011018,2.8614702,6.1887584,Cluster 2
ME0/ABEC0023.WEC0011019,2.8624237,6.5810432,Cluster 2
ME0/ABEC0023.WEC0011020,2.836421,6.2866454,Cluster 2
ME0/ABEC0023.WEC0011021,2.7637637,6.3582006,Cluster 2
ME0/ABEC0023.WEC0011022,3.0171819,6.3244734,Cluster 2
ME0/ABEC0023.WEC0011023,2.9180312,6.290085,Cluster 2
ME0/ABEC0023.WEC0011029,2.9437668,6.214843,Cluster 2
ME0/ABEC0023.WEC0011030,2.917218,6.186445,Cluster 2
ME0/ABEC0023.WEC0011031,2.9318953,6.467506,Cluster 2
ME0/ABEC0023.WEC0011032,2.8742309,6.4352527,Cluster 2
ME0/ABEC0023.WEC0011034,2.9365573,6.363674,Cluster 2
ME0/ABEC0023.WEC0011035,2.7881184,6.1522884,Cluster 2
ME0/ABEC0023.WEC0011036,2.8925378,6.3847303,Cluster 2
ME0/ABEC0023.WEC0011037,2.5438719,7.0393887,Noise
ME0/ABEC0023.WEC0011038,2.9348497,6.3821683,Cluster 2
ME0/ABEC0023.WEC0011039,2.7241313,6.3146715,Cluster 2
ME0/ABEC0023.WEC0011040,2.90965,6.937358,Cluster 2
ME0/ABEC0023.WEC0011041,2.579571,6.508804,Cluster 2
ME0/ABEC0023.WEC0011042,2.895964,6.2025437,Cluster 2
ME0/ABEC0023.WEC0011043,2.772921,6.3345766,Cluster 2
ME0/ABEC0023.WEC0011044,2.7933226,6.4051743,Cluster 2
ME0/ABEC0023.WEC0011045,2.7391353,6.468464,Cluster 2
