"RGCCA"	"MCIA"	"intNMF"	"tICA"	"UBMI"
0.680132888950327	0.739943640852376	1	0.624495755399144	1
0.681828954495607	0.730437411084793	0.176470588235294	0.631759464877409	1
0.684233580593021	0.73878013377532	1	0.658876925761222	1
0.684093024032914	0.721343929897436	0.98	0.645148025873239	1
0.680259500728932	0.728387641396811	0.05	0.629473907581351	1
0.681786772635823	0.723049491606389	1	0.6507041386607	1
0.687947676719105	0.738203402032497	0.95	0.640026877603816	1
0.706451162533839	0.728251463233227	1	0.645669381492355	1
0.69182958950812	0.735409882689566	0.645161290322581	0.657270190963394	1
0.686455106451314	0.738032080907907	1	0.640401549496375	1
0.67714069844423	0.735916028484277	1	0.647265743513502	1
0.674775347473045	0.732834983780279	1	0.633474098396572	0.25
0.68482438647475	0.735375680962766	1	0.653794466534026	0.383333333333333
0.67371818045502	0.735039312557972	0.98	0.647046346894218	0.25
0.669643421971222	0.730534626095113	0.5	0.646202038750217	1
