"RGCCA"	"MCIA"	"MOFA"	"intNMF"	"JIVE"	"tICA"	"UBMI"
0.690180490337836	0.719688099624904	0.717103790647522	1	0.713670219094818	0.647108092597756	1
0.683373958747668	0.735514315917873	0.701046101010355	1	0.716854653839798	0.642685077592134	1
0.690358583739087	0.724372258937412	0.709822792659578	0.5	0.718426539025317	0.659433049799897	1
0.664451964916748	0.736949522837054	0.709511573982321	1	0.706260958962628	0.678078962602822	1
0.695180674334409	0.734428844198363	0.709344845701663	0.97	0.700747621825386	0.666683243293406	1
0.682667940300372	0.725538223411715	0.713103496190219	1	0.700876562503843	0.673207897652366	1
0.691117073809088	0.737400158367244	0.711993443225589	1	0.718056164487703	0.643143598625214	1
0.678313739560741	0.732414944454937	0.681676464229588	1	0.707860065363287	0.663650549822464	1
0.690084203949309	0.71487963146928	0.714242890859729	1	0.70820611525637	0.665813382098352	1
0.683092794668427	0.743955799049837	0.713245970054644	1	0.723035275093171	0.674211006640184	1
0.689509965586534	0.71535289773067	0.71236733873631	1	0.71685324080403	0.663060342576453	1
0.683766789383746	0.718011562259419	0.71211341123819	0.03	0.718266774428702	0.662720482202952	1
0.694992726635405	0.73080589619584	0.709470433803507	1	0.701061738503678	0.635640192714526	1
0.683493770182245	0.730133750371995	0.719136996022336	1	0.714295671007027	0.650677474426694	1
0.704460701832625	0.725426575019052	0.71612653554263	1	0.727770405744254	0.664225493090774	1
