"RGCCA"	"MCIA"	"MOFA"	"intNMF"	"JIVE"	"tICA"	"UBMI"
0.768793198856006	0.82691113021785	0.767959061902026	0.714285714285714	0.773402502559679	0.672522853728726	1
0.780025251954623	0.818181627075161	0.767351195559169	1	0.77643201523979	0.6868321221879	1
0.793983586876124	0.810391349293659	0.769864550844275	1	0.774648147789127	0.670733502722575	1
0.787243450973527	0.815477560300894	0.764864429148329	1	0.774698331779048	0.680394861235088	1
0.778548151666834	0.803715269329087	0.77095050620841	1	0.752963058638018	0.693220595520346	1
0.788776689797987	0.81250594272603	0.767559441502664	1	0.770880898609889	0.676610074989497	0.457142857142857
0.791705224913406	0.804688829788961	0.775145023296021	1	0.767697243027509	0.684122786489004	0.457142857142857
0.782403778967564	0.803430188595447	0.772788842052247	1	0.767946260827361	0.691259668442711	1
0.788407165320691	0.801995307464786	0.752350845456643	1	0.762019331958004	0.695698240382985	1
0.793351329748669	0.803204873289938	0.768969710397177	0.96	0.759514197847833	0.664435929221698	1
