"RGCCA"	"MCIA"	"MOFA"	"intNMF"	"JIVE"	"tICA"	"UBMI"
0.781551613515272	0.772964302516431	0.769637478991597	1	0.730912142857143	0.739737142857143	1
0.767967516131765	0.768041080155518	0.757996986863711	1	0.729270396825397	0.718856666666667	1
0.780813986736483	0.777555222157829	0.771350514592934	0.98	0.728281507936508	0.73523	1
0.777908049755728	0.770987088065482	0.759192380952381	1	0.72512373015873	0.733947619047619	1
0.777972325622292	0.778266805237688	0.772250952380952	1	0.717507380952381	0.730048571428571	0.56
0.775236868633517	0.777941165392118	0.764053650793651	0.833333333333333	0.73497	0.72758380952381	0.44
0.773638109545957	0.782518523216979	0.76624822011322	1	0.730955346320346	0.745088095238095	1
0.777408109001352	0.77851074970218	0.78116619047619	1	0.741360714285714	0.731722380952381	1
0.769698823388992	0.777032731092437	0.781245238095238	1	0.721294523809524	0.728644285714286	1
0.780468966274454	0.78385384205353	0.778653333333333	0.576923076923077	0.722411666666667	0.741550952380952	1
