"RGCCA"	"MCIA"	"intNMF"	"tICA"	"UBMI"
0.770621918931362	0.778815639227049	1	0.694980084274121	1
0.771109829362389	0.787180111265813	1	0.68487481249458	1
0.765014184474126	0.766118839686933	1	0.683212017227046	1
0.771547877115364	0.771517261433242	0.984615384615385	0.70509302575839	1
0.754627523839469	0.793330391814149	1	0.68466505504664	0.48
0.770162528853456	0.778477357613254	1	0.68424049713011	0.2
0.75649670881046	0.780206079438046	0.892857142857143	0.692624527896424	0.22
0.759553638732884	0.780668096753237	1	0.709251905497244	1
0.782314930621832	0.777875775692836	0.4375	0.698817474452397	1
0.77512723468432	0.767527853030484	0.95	0.680777796117425	1
