"RGCCA"	"MCIA"	"intNMF"	"tICA"	"UBMI"
0.779996818555805	0.776887958414135	1	0.72175867965368	1
0.780095463917526	0.786171283446712	1	0.737097142857143	1
0.780350341419587	0.758786442577031	1	0.722150714285714	1
0.784792618497602	0.774638965986395	0.892857142857143	0.72966880952381	1
0.786772528857206	0.780147907817673	0.986666666666667	0.725947092352092	1
0.783710706445223	0.765905680272109	0.692307692307692	0.727990714285714	1
0.791036594788859	0.773074168498168	1	0.737189523809524	1
0.786441780538302	0.7666701232493	0.980392156862745	0.741012380952381	1
0.781568882783883	0.78685649028749	1	0.751892380952381	1
0.772514126984127	0.777348537815126	1	0.728706666666667	1
